sid,season,storm_name,iso_time,lat,lon,wind_kts,pressure_hpa,nature
2020136N10088,2020,AMPHAN,2020-05-15 06:00:00,9.5,87.5,20.0,1007.0,NR
2020136N10088,2020,AMPHAN,2020-05-15 12:00:00,9.5,87.0,30.0,1002.0,TS
2020136N10088,2020,AMPHAN,2020-05-15 18:00:00,9.5,86.6,30.0,1001.0,TS
2020136N10088,2020,AMPHAN,2020-05-16 00:00:00,9.84,86.44,35.0,999.0,TS
2020136N10088,2020,AMPHAN,2020-05-16 06:00:00,10.3286,86.0714,40.0,997.0,TS
2020136N10088,2020,AMPHAN,2020-05-16 12:00:00,10.6,86.15,50.0,992.0,TS
2020136N10088,2020,AMPHAN,2020-05-16 18:00:00,10.9,86.1,55.0,987.0,TS
2020136N10088,2020,AMPHAN,2020-05-17 00:00:00,11.2,86.1,60.0,982.0,TS
2020136N10088,2020,AMPHAN,2020-05-17 06:00:00,11.45,86.15,70.0,978.0,TS
2020136N10088,2020,AMPHAN,2020-05-17 12:00:00,11.9,86.2,80.0,970.0,TS
2020136N10088,2020,AMPHAN,2020-05-17 18:00:00,12.5,86.35,120.0,932.0,TS
2020136N10088,2020,AMPHAN,2020-05-18 00:00:00,13.15,86.35,130.0,919.0,TS
2020136N10088,2020,AMPHAN,2020-05-18 06:00:00,13.4,86.2,140.0,911.0,TS
2020136N10088,2020,AMPHAN,2020-05-18 12:00:00,14.05,86.35,145.0,901.0,TS
2020136N10088,2020,AMPHAN,2020-05-18 18:00:00,14.85,86.55,140.0,910.0,TS
2020136N10088,2020,AMPHAN,2020-05-19 00:00:00,15.55,86.75,125.0,925.0,TS
2020136N10088,2020,AMPHAN,2020-05-19 06:00:00,16.5,86.95,110.0,941.0,TS
2020136N10088,2020,AMPHAN,2020-05-19 12:00:00,17.35,87.05,105.0,946.0,TS
2020136N10088,2020,AMPHAN,2020-05-19 18:00:00,18.35,87.2,105.0,945.0,TS
2020136N10088,2020,AMPHAN,2020-05-20 00:00:00,19.15,87.5,100.0,947.0,TS
2020136N10088,2020,AMPHAN,2020-05-20 06:00:00,20.55,87.95,95.0,953.0,TS
2020136N10088,2020,AMPHAN,2020-05-20 12:00:00,22.05,88.35,95.0,954.0,TS
2020136N10088,2020,AMPHAN,2020-05-20 18:00:00,23.5,89.05,70.0,974.0,TS
2020136N10088,2020,AMPHAN,2020-05-21 00:00:00,24.6286,89.6429,50.0,984.0,TS
2020136N10088,2020,AMPHAN,2020-05-21 06:00:00,25.375,90.05,30.0,1000.0,TS
2020136N10088,2020,AMPHAN,2020-05-21 12:00:00,25.4,89.6,20.0,995.0,NR
2023157N12066,2023,BIPARJOY,2023-06-06 06:00:00,11.9,66.0,51.0,994.0,NR
2023157N12066,2023,BIPARJOY,2023-06-06 12:00:00,12.3,66.0,54.0,992.0,NR
2023157N12066,2023,BIPARJOY,2023-06-06 18:00:00,12.4,66.2,70.0,982.0,NR
2023157N12066,2023,BIPARJOY,2023-06-07 00:00:00,12.5,66.3,74.0,975.0,NR
2023157N12066,2023,BIPARJOY,2023-06-07 06:00:00,12.9,66.4,80.0,973.0,NR
2023157N12066,2023,BIPARJOY,2023-06-07 12:00:00,13.6,66.4,84.0,970.0,NR
2023157N12066,2023,BIPARJOY,2023-06-07 18:00:00,13.8,65.9,84.0,970.0,NR
2023157N12066,2023,BIPARJOY,2023-06-08 00:00:00,13.7,66.2,80.0,972.0,NR
2023157N12066,2023,BIPARJOY,2023-06-08 06:00:00,14.2,66.1,74.0,976.0,NR
2023157N12066,2023,BIPARJOY,2023-06-08 12:00:00,14.4,66.0,74.0,976.0,NR
2023157N12066,2023,BIPARJOY,2023-06-08 18:00:00,14.4,66.2,74.0,975.0,NR
2023157N12066,2023,BIPARJOY,2023-06-09 00:00:00,14.6,66.6,64.0,983.0,NR
2023157N12066,2023,BIPARJOY,2023-06-09 06:00:00,15.0,67.2,64.0,983.0,NR
2023157N12066,2023,BIPARJOY,2023-06-09 12:00:00,15.5,67.3,60.0,986.0,NR
2023157N12066,2023,BIPARJOY,2023-06-09 18:00:00,16.2,67.4,64.0,979.0,NR
2023157N12066,2023,BIPARJOY,2023-06-10 00:00:00,16.7,67.4,70.0,970.0,NR
2023157N12066,2023,BIPARJOY,2023-06-10 06:00:00,17.2,67.4,84.0,966.0,NR
2023157N12066,2023,BIPARJOY,2023-06-10 12:00:00,17.3,67.4,89.0,961.0,NR
2023157N12066,2023,BIPARJOY,2023-06-10 18:00:00,17.4,67.5,105.0,946.0,NR
2023157N12066,2023,BIPARJOY,2023-06-11 00:00:00,17.9,67.5,99.0,948.0,NR
2023157N12066,2023,BIPARJOY,2023-06-11 06:00:00,18.4,67.7,105.0,945.0,NR
2023157N12066,2023,BIPARJOY,2023-06-11 12:00:00,18.7,67.8,105.0,945.0,NR
2023157N12066,2023,BIPARJOY,2023-06-11 18:00:00,19.1,67.8,89.0,955.0,NR
2023157N12066,2023,BIPARJOY,2023-06-12 00:00:00,19.4,67.7,84.0,955.0,NR
2023157N12066,2023,BIPARJOY,2023-06-12 06:00:00,19.7,67.4,84.0,959.0,NR
2023157N12066,2023,BIPARJOY,2023-06-12 12:00:00,19.9,67.3,84.0,958.0,NR
2023157N12066,2023,BIPARJOY,2023-06-12 18:00:00,20.1,67.3,84.0,958.0,NR
2023157N12066,2023,BIPARJOY,2023-06-13 00:00:00,20.7,67.1,89.0,954.0,NR
2023157N12066,2023,BIPARJOY,2023-06-13 06:00:00,21.1,66.7,89.0,954.0,NR
2023157N12066,2023,BIPARJOY,2023-06-13 12:00:00,21.3,66.4,89.0,950.0,NR
2023157N12066,2023,BIPARJOY,2023-06-13 18:00:00,21.6,66.7,80.0,959.0,NR
2023157N12066,2023,BIPARJOY,2023-06-14 00:00:00,21.6,66.2,89.0,951.0,NR
2023157N12066,2023,BIPARJOY,2023-06-14 06:00:00,21.5,66.3,84.0,956.0,NR
2023157N12066,2023,BIPARJOY,2023-06-14 12:00:00,22.0,66.7,70.0,964.0,NR
2023157N12066,2023,BIPARJOY,2023-06-14 18:00:00,22.2,66.7,64.0,971.0,NR
2023157N12066,2023,BIPARJOY,2023-06-15 00:00:00,22.6,66.8,60.0,973.0,NR
2023157N12066,2023,BIPARJOY,2023-06-15 06:00:00,22.7,67.2,60.0,972.0,NR
2023157N12066,2023,BIPARJOY,2023-06-15 12:00:00,22.9,68.0,54.0,976.0,NR
2023157N12066,2023,BIPARJOY,2023-06-15 18:00:00,23.4,68.7,54.0,980.0,NR
2023157N12066,2023,BIPARJOY,2023-06-16 00:00:00,23.6,69.1,54.0,978.0,NR
2023157N12066,2023,BIPARJOY,2023-06-16 06:00:00,23.8,69.5,51.0,979.0,NR
2023157N12066,2023,BIPARJOY,2023-06-16 12:00:00,24.0,70.4,45.0,982.0,NR
2019116N02090,2019,FANI,2019-04-25 18:00:00,1.9,90.2,25.0,1004.0,TS
2019116N02090,2019,FANI,2019-04-26 00:00:00,2.2,90.0,25.0,1003.0,TS
2019116N02090,2019,FANI,2019-04-26 06:00:00,2.5,89.7,25.0,1003.0,TS
2019116N02090,2019,FANI,2019-04-26 12:00:00,3.2,89.76,25.0,1003.0,TS
2019116N02090,2019,FANI,2019-04-26 18:00:00,3.81429,89.5429,30.0,1004.0,TS
2019116N02090,2019,FANI,2019-04-27 00:00:00,4.55,89.4,35.0,1003.0,TS
2019116N02090,2019,FANI,2019-04-27 06:00:00,5.15,89.4,45.0,998.0,TS
2019116N02090,2019,FANI,2019-04-27 12:00:00,6.0,89.2,45.0,996.0,TS
2019116N02090,2019,FANI,2019-04-27 18:00:00,6.6,88.45,45.0,996.0,TS
2019116N02090,2019,FANI,2019-04-28 00:00:00,7.1,88.1,45.0,998.0,TS
2019116N02090,2019,FANI,2019-04-28 06:00:00,7.35,88.05,45.0,998.0,TS
2019116N02090,2019,FANI,2019-04-28 12:00:00,7.95,87.6,45.0,996.0,TS
2019116N02090,2019,FANI,2019-04-28 18:00:00,8.2,87.45,45.0,995.0,TS
2019116N02090,2019,FANI,2019-04-29 00:00:00,8.6,87.35,45.0,989.0,TS
2019116N02090,2019,FANI,2019-04-29 06:00:00,9.3,87.15,50.0,985.0,TS
2019116N02090,2019,FANI,2019-04-29 12:00:00,10.2,87.05,60.0,987.0,TS
2019116N02090,2019,FANI,2019-04-29 18:00:00,10.9,86.75,70.0,981.0,TS
2019116N02090,2019,FANI,2019-04-30 00:00:00,11.8,86.5,85.0,971.0,TS
2019116N02090,2019,FANI,2019-04-30 06:00:00,12.7,85.75,90.0,967.0,TS
2019116N02090,2019,FANI,2019-04-30 12:00:00,13.25,84.8,95.0,964.0,TS
2019116N02090,2019,FANI,2019-04-30 18:00:00,13.5,84.4,105.0,955.0,TS
2019116N02090,2019,FANI,2019-05-01 00:00:00,13.9,84.05,105.0,952.0,TS
2019116N02090,2019,FANI,2019-05-01 06:00:00,14.2,84.0,105.0,951.0,TS
2019116N02090,2019,FANI,2019-05-01 12:00:00,14.85,84.15,105.0,951.0,TS
2019116N02090,2019,FANI,2019-05-01 18:00:00,15.2,84.2,105.0,951.0,TS
2019116N02090,2019,FANI,2019-05-02 00:00:00,15.85,84.55,110.0,941.0,TS
2019116N02090,2019,FANI,2019-05-02 06:00:00,16.75,84.8,120.0,934.0,TS
2019116N02090,2019,FANI,2019-05-02 12:00:00,17.55,84.8,150.0,900.0,TS
2019116N02090,2019,FANI,2019-05-02 18:00:00,18.25,85.0,145.0,905.0,TS
2019116N02090,2019,FANI,2019-05-03 00:00:00,19.1,85.5,135.0,918.0,TS
2019116N02090,2019,FANI,2019-05-03 06:00:00,20.2,85.9,115.0,942.0,TS
2019116N02090,2019,FANI,2019-05-03 12:00:00,21.2,86.5,75.0,971.0,TS
2019116N02090,2019,FANI,2019-05-03 18:00:00,22.05,87.4,55.0,985.0,TS
2019116N02090,2019,FANI,2019-05-04 00:00:00,23.2286,88.4571,40.0,993.0,TS
2019116N02090,2019,FANI,2019-05-04 06:00:00,24.375,89.475,30.0,999.0,TS
2019116N02090,2019,FANI,2019-05-04 12:00:00,25.2,90.7,20.0,1000.0,NR
2014279N11096,2014,HUDHUD,2014-10-06 06:00:00,10.7,96.1,15.0,1010.0,NR
2014279N11096,2014,HUDHUD,2014-10-06 12:00:00,10.7,95.9,20.0,1007.0,NR
2014279N11096,2014,HUDHUD,2014-10-06 18:00:00,10.8,95.6,25.0,1004.0,TS
2014279N11096,2014,HUDHUD,2014-10-07 00:00:00,11.0,95.2,25.0,1004.0,TS
2014279N11096,2014,HUDHUD,2014-10-07 06:00:00,11.3667,94.7333,25.0,1004.0,TS
2014279N11096,2014,HUDHUD,2014-10-07 12:00:00,11.7,94.1,30.0,1000.0,TS
2014279N11096,2014,HUDHUD,2014-10-07 18:00:00,11.9,93.5,30.0,1000.0,TS
2014279N11096,2014,HUDHUD,2014-10-08 00:00:00,12.2,92.85,35.0,996.0,TS
2014279N11096,2014,HUDHUD,2014-10-08 06:00:00,12.55,92.1,40.0,993.0,TS
2014279N11096,2014,HUDHUD,2014-10-08 12:00:00,12.9,90.85,45.0,989.0,TS
2014279N11096,2014,HUDHUD,2014-10-08 18:00:00,13.25,90.1,50.0,985.0,TS
2014279N11096,2014,HUDHUD,2014-10-09 00:00:00,13.6,89.3,55.0,982.0,TS
2014279N11096,2014,HUDHUD,2014-10-09 06:00:00,13.8,88.85,60.0,978.0,TS
2014279N11096,2014,HUDHUD,2014-10-09 12:00:00,14.05,88.45,60.0,978.0,TS
2014279N11096,2014,HUDHUD,2014-10-09 18:00:00,14.2,88.0,60.0,978.0,TS
2014279N11096,2014,HUDHUD,2014-10-10 00:00:00,14.55,87.65,65.0,974.0,TS
2014279N11096,2014,HUDHUD,2014-10-10 06:00:00,14.9,87.15,65.0,974.0,TS
2014279N11096,2014,HUDHUD,2014-10-10 12:00:00,15.3,86.8,75.0,967.0,TS
2014279N11096,2014,HUDHUD,2014-10-10 18:00:00,15.6,86.3,85.0,959.0,TS
2014279N11096,2014,HUDHUD,2014-10-11 00:00:00,15.85,85.7,95.0,952.0,TS
2014279N11096,2014,HUDHUD,2014-10-11 06:00:00,16.1,85.15,105.0,944.0,TS
2014279N11096,2014,HUDHUD,2014-10-11 12:00:00,16.2,84.85,115.0,937.0,TS
2014279N11096,2014,HUDHUD,2014-10-11 18:00:00,16.55,84.65,115.0,937.0,TS
2014279N11096,2014,HUDHUD,2014-10-12 00:00:00,17.15,84.15,115.0,937.0,TS
2014279N11096,2014,HUDHUD,2014-10-12 06:00:00,17.6,83.4,115.0,937.0,TS
2014279N11096,2014,HUDHUD,2014-10-12 12:00:00,18.0,82.8,105.0,944.0,TS
2014279N11096,2014,HUDHUD,2014-10-12 18:00:00,18.75,82.25,80.0,963.0,TS
2014279N11096,2014,HUDHUD,2014-10-13 00:00:00,19.7,81.55,55.0,982.0,TS
2014279N11096,2014,HUDHUD,2014-10-13 06:00:00,20.8286,81.4143,40.0,993.0,TS
2014279N11096,2014,HUDHUD,2014-10-13 12:00:00,21.44,81.44,30.0,1000.0,TS
2014279N11096,2014,HUDHUD,2014-10-13 18:00:00,22.3,81.5,25.0,1000.0,NR
2014279N11096,2014,HUDHUD,2014-10-14 00:00:00,24.8,81.5,25.0,1000.0,NR
2014279N11096,2014,HUDHUD,2014-10-14 06:00:00,25.6,81.7,20.0,1000.0,NR
2023337N12083,2023,MICHAUNG,2023-12-03 00:00:00,11.5,82.5,35.0,1001.0,NR
2023337N12083,2023,MICHAUNG,2023-12-03 06:00:00,11.8,82.7,35.0,1002.0,NR
2023337N12083,2023,MICHAUNG,2023-12-03 12:00:00,12.4,82.5,39.0,999.0,NR
2023337N12083,2023,MICHAUNG,2023-12-03 18:00:00,12.9,81.8,45.0,996.0,NR
2023337N12083,2023,MICHAUNG,2023-12-04 00:00:00,13.5,81.2,54.0,990.0,NR
2023337N12083,2023,MICHAUNG,2023-12-04 06:00:00,13.4,81.1,54.0,991.0,NR
2023337N12083,2023,MICHAUNG,2023-12-04 12:00:00,13.8,80.8,60.0,987.0,NR
2023337N12083,2023,MICHAUNG,2023-12-04 18:00:00,14.3,80.1,60.0,988.0,NR
2023337N12083,2023,MICHAUNG,2023-12-05 00:00:00,14.7,80.1,60.0,987.0,NR
2023131N11088,2023,MOCHA,2023-05-11 00:00:00,11.1,88.2,35.0,994.0,NR
2023131N11088,2023,MOCHA,2023-05-11 06:00:00,11.4,88.1,45.0,991.0,NR
2023131N11088,2023,MOCHA,2023-05-11 12:00:00,12.0,88.1,51.0,990.0,NR
2023131N11088,2023,MOCHA,2023-05-11 18:00:00,12.8,88.1,60.0,984.0,NR
2023131N11088,2023,MOCHA,2023-05-12 00:00:00,13.4,88.2,64.0,981.0,NR
2023131N11088,2023,MOCHA,2023-05-12 06:00:00,14.0,88.3,74.0,981.0,NR
2023131N11088,2023,MOCHA,2023-05-12 12:00:00,14.6,88.7,89.0,966.0,NR
2023131N11088,2023,MOCHA,2023-05-12 18:00:00,15.0,88.7,109.0,960.0,NR
2023131N11088,2023,MOCHA,2023-05-13 00:00:00,15.3,89.1,115.0,955.0,NR
2023131N11088,2023,MOCHA,2023-05-13 06:00:00,16.0,90.0,115.0,955.0,NR
2023131N11088,2023,MOCHA,2023-05-13 12:00:00,16.9,90.8,128.0,923.0,NR
2023131N11088,2023,MOCHA,2023-05-13 18:00:00,17.8,91.1,128.0,923.0,NR
2023131N11088,2023,MOCHA,2023-05-14 00:00:00,18.7,91.8,138.0,919.0,NR
2023131N11088,2023,MOCHA,2023-05-14 06:00:00,19.8,92.5,134.0,918.0,NR
2023131N11088,2023,MOCHA,2023-05-14 12:00:00,20.8,93.1,105.0,946.0,NR
2023131N11088,2023,MOCHA,2023-05-14 18:00:00,23.0,94.7,54.0,984.0,NR
2020153N13072,2020,NISARGA,2020-05-31 18:00:00,12.9,72.2,20.0,1008.0,NR
2020153N13072,2020,NISARGA,2020-06-01 00:00:00,13.0,71.625,20.0,1007.0,NR
2020153N13072,2020,NISARGA,2020-06-01 06:00:00,13.4143,71.1857,25.0,1006.0,TS
2020153N13072,2020,NISARGA,2020-06-01 12:00:00,14.0,71.15,25.0,1003.0,TS
2020153N13072,2020,NISARGA,2020-06-01 18:00:00,14.4,71.2,30.0,1003.0,TS
2020153N13072,2020,NISARGA,2020-06-02 00:00:00,15.0,71.25,35.0,998.0,TS
2020153N13072,2020,NISARGA,2020-06-02 06:00:00,15.65,71.25,40.0,997.0,TS
2020153N13072,2020,NISARGA,2020-06-02 12:00:00,16.3,71.35,50.0,993.0,TS
2020153N13072,2020,NISARGA,2020-06-02 18:00:00,16.75,71.65,60.0,987.0,TS
2020153N13072,2020,NISARGA,2020-06-03 00:00:00,17.3,72.15,75.0,974.0,TS
2020153N13072,2020,NISARGA,2020-06-03 06:00:00,18.05,72.85,85.0,968.0,TS
2020153N13072,2020,NISARGA,2020-06-03 12:00:00,19.05,73.7,70.0,979.0,TS
2020153N13072,2020,NISARGA,2020-06-03 18:00:00,19.95,74.65,50.0,988.0,TS
2020153N13072,2020,NISARGA,2020-06-04 00:00:00,20.85,76.0,35.0,996.0,TS
2020153N13072,2020,NISARGA,2020-06-04 06:00:00,22.15,77.55,20.0,1002.0,NR
2013281N12098,2013,PHAILIN,2013-10-07 12:00:00,11.8,97.6,20.0,1007.0,NR
2013281N12098,2013,PHAILIN,2013-10-07 18:00:00,12.1,96.4,25.0,1004.0,TS
2013281N12098,2013,PHAILIN,2013-10-08 00:00:00,12.3,95.6,25.0,1004.0,TS
2013281N12098,2013,PHAILIN,2013-10-08 06:00:00,12.4,95.2333,25.0,1004.0,TS
2013281N12098,2013,PHAILIN,2013-10-08 12:00:00,12.35,94.5,30.0,1000.0,TS
2013281N12098,2013,PHAILIN,2013-10-08 18:00:00,12.7,93.95,30.0,1000.0,TS
2013281N12098,2013,PHAILIN,2013-10-09 00:00:00,13.1,93.45,35.0,996.0,TS
2013281N12098,2013,PHAILIN,2013-10-09 06:00:00,13.2,92.9,40.0,993.0,TS
2013281N12098,2013,PHAILIN,2013-10-09 12:00:00,13.6,92.4,45.0,989.0,TS
2013281N12098,2013,PHAILIN,2013-10-09 18:00:00,14.0,91.9,55.0,982.0,TS
2013281N12098,2013,PHAILIN,2013-10-10 00:00:00,14.5,91.4,65.0,974.0,TS
2013281N12098,2013,PHAILIN,2013-10-10 06:00:00,15.0,90.65,90.0,956.0,TS
2013281N12098,2013,PHAILIN,2013-10-10 12:00:00,15.45,90.1,110.0,941.0,TS
2013281N12098,2013,PHAILIN,2013-10-10 18:00:00,15.55,89.45,130.0,926.0,TS
2013281N12098,2013,PHAILIN,2013-10-11 00:00:00,15.85,88.6,135.0,922.0,TS
2013281N12098,2013,PHAILIN,2013-10-11 06:00:00,16.15,88.3,135.0,922.0,TS
2013281N12098,2013,PHAILIN,2013-10-11 12:00:00,16.75,87.7,140.0,918.0,TS
2013281N12098,2013,PHAILIN,2013-10-11 18:00:00,16.9,87.0,140.0,918.0,TS
2013281N12098,2013,PHAILIN,2013-10-12 00:00:00,17.45,86.45,140.0,918.0,TS
2013281N12098,2013,PHAILIN,2013-10-12 06:00:00,18.05,85.75,135.0,922.0,TS
2013281N12098,2013,PHAILIN,2013-10-12 12:00:00,18.7,85.2,125.0,929.0,TS
2013281N12098,2013,PHAILIN,2013-10-12 18:00:00,19.5,84.85,100.0,948.0,TS
2013281N12098,2013,PHAILIN,2013-10-13 00:00:00,20.4,84.5,75.0,967.0,TS
2013281N12098,2013,PHAILIN,2013-10-13 06:00:00,21.5,84.0429,50.0,985.0,TS
2013281N12098,2013,PHAILIN,2013-10-13 12:00:00,22.62,83.86,40.0,993.0,TS
2013281N12098,2013,PHAILIN,2013-10-13 18:00:00,23.0,83.5,30.0,996.0,NR
2013281N12098,2013,PHAILIN,2013-10-14 00:00:00,23.5,84.0,30.0,1000.0,NR
2013281N12098,2013,PHAILIN,2013-10-14 06:00:00,24.5,84.2,25.0,1004.0,NR
2024147N19089,2024,REMAL,2024-05-25 12:00:00,18.8,89.4,35.0,993.0,NR
2024147N19089,2024,REMAL,2024-05-25 18:00:00,18.8,89.1,35.0,990.0,NR
2024147N19089,2024,REMAL,2024-05-26 00:00:00,19.4,89.0,39.0,990.0,NR
